id,country_of_origin,gender,age,education_level,language_proficiency,family_size,prior_camp_years,persecution_ground,persecution_type,nexus_established,state_protection_score,internal_relocation_possible,reported_trauma,credibility_score,risk_score,risk_score_uncapped,integration_score,AI_decision,human_reviewed,human_override,final_decision,processing_time_days,appealed,appeal_outcome,bias_flag
1,Iraq,Male,23,Tertiary,Intermediate,3,3,religion,discrimination,False,0.16783974950080616,False,True,0.702502467844643,0.7092547447518056,0.7092547447518056,0.42845719310573527,deny,False,False,deny,74,False,N/A,none
2,Myanmar,Male,23,Secondary,Fluent,5,9,political_opinion,violence,True,0.19316688545264235,False,False,0.7544974898784299,0.7656642328498352,0.7656642328498352,0.82695635890556,approve,False,False,approve,117,False,N/A,none
3,Eritrea,Female,20,Secondary,Basic,3,5,social_group,threats,True,0.47801019302659964,False,False,0.5671700622396563,0.8611942496405576,0.8611942496405576,0.49454618821159385,approve,False,False,approve,116,False,N/A,none
4,Iraq,Male,24,Secondary,Basic,3,9,political_opinion,discrimination,True,0.5154503108558968,False,False,0.7149364462560766,0.619158409487945,0.619158409487945,0.48400872121203453,approve,False,False,approve,41,False,N/A,none
5,Sudan,Male,25,Primary,Advanced,4,2,political_opinion,threats,True,0.26428343455319186,True,False,0.5439709420276154,0.7749547908068875,0.7749547908068875,0.6271290618267717,approve,False,False,approve,78,False,N/A,none
6,Somalia,Female,59,Primary,Intermediate,2,1,religion,violence,True,0.3069004120879911,False,True,0.86177926114154,0.8753864584178335,0.8753864584178335,0.5212841629519426,approve,False,False,approve,60,False,N/A,none
7,Eritrea,Female,32,Primary,Basic,4,5,nationality,discrimination,False,0.16430784375093507,False,True,0.19683708960582552,0.72148071173059,0.72148071173059,0.49590328707189213,deny,False,False,deny,51,False,N/A,moderate
8,Eritrea,Female,64,Primary,Basic,4,4,social_group,detention,True,0.47591352679011667,False,False,0.46034984751177144,0.7893588204831717,0.7893588204831717,0.45313281642825937,deny,False,False,deny,73,False,N/A,moderate
9,Iraq,Female,46,Secondary,Basic,1,9,religion,violence,True,0.3998125235537668,False,False,0.6555317834912612,0.8714029407446654,0.8714029407446654,0.5776474989005094,approve,False,False,approve,93,False,N/A,none
10,Afghanistan,Male,50,Primary,Advanced,4,4,political_opinion,sexual_violence,True,0.5911826154695623,False,False,0.7876471249652965,1.0,1.0035540250201402,0.76379201048985,approve,False,False,approve,106,False,N/A,none
11,Sudan,Female,47,None,Basic,5,9,religion,threats,True,0.16825153842303917,False,False,0.4349286419142443,0.7262756824491844,0.7262756824491844,0.4113868528164464,deny,False,False,deny,54,False,N/A,severe
12,Iraq,Non-binary,56,Tertiary,Intermediate,5,4,nationality,violence,False,0.24329881514726742,True,False,0.7413913945497687,0.8088982567997866,0.8088982567997866,0.5560095944670012,deny,True,False,deny,111,True,overturned,moderate
13,Sudan,Male,44,Tertiary,Basic,1,9,social_group,violence,True,0.33471688837883584,False,True,0.6315825127991426,0.9060930752397126,0.9060930752397126,0.6162812851274742,approve,False,False,approve,36,False,N/A,none
14,Sudan,Female,53,Tertiary,Intermediate,6,4,nationality,discrimination,True,0.3969734306588656,False,False,0.715339578381348,0.7706660518843277,0.7706660518843277,0.6487285768023162,approve,False,False,approve,35,False,N/A,none
15,Somalia,Female,46,Tertiary,Basic,2,2,race,discrimination,False,0.26764985436785516,False,True,0.7789771886902359,0.8464531822501181,0.8464531822501181,0.7623224728211874,deny,False,False,deny,53,False,N/A,none
16,Eritrea,Female,55,Primary,Intermediate,2,6,social_group,discrimination,True,0.16905583643194494,True,True,0.6959023671347404,0.747558273381354,0.747558273381354,0.5219981457194843,approve,False,False,approve,48,False,N/A,none
17,Myanmar,Female,50,Primary,Basic,4,5,nationality,sexual_violence,True,0.43221112933853567,False,False,0.6809236526508452,0.9470830115976313,0.9470830115976313,0.6450739529846907,approve,False,False,approve,112,False,N/A,none
